license_number,application_number,business_name,license_type,application_fee,lic_fee_amount,dbe,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_city,business_state,business_zipcode,mailing_address_1,mailing_city,mailing_state,mailing_zipcode,establishment_address_1,establishment_city,establishment_state,establishment_zip_code,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,app_create_date,geocoded_column,:@computed_region_4aer_mww6,activity_date,version,Address,lon,lat,town_pop,Distance
MR282925,MRN282925,Volcann LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,15 College Highway,Southampton,MA,1073,5 Nicholas Lane,Southampton,MA,1073,15 College Highway,Southampton,MA,1073,800,12,Yes,1386626,2019-08-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.69796796699995, 42.252013014000056]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,15+College+Highway+Southampton+MA,-72.6980317,42.2520141,5792,209
MR282388,MRN282388,"Apotho Therapeutics Plainville, LLC",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,119 Washington St,Plainville,MA,2762,125 High Street,Boston,MA,2110,119 Washington Street,Plainville,MA,2762,5384,11,Yes,1346519,2019-02-09T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.31681003199998, 42.01718699700007]}",8,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,119+Washington+St+Plainville+MA,-71.3167914,42.0172326,8264,117
MR282084,MRN282084,BB Botanics LLC,Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,242 John Wise Avenue,Essex,MA,1929,PO BOX 372,Burlington,MA,1803,242 John Wise Avenue,Essex,MA,1929,5622,1,Yes,1354546,2018-11-26T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.80747203499993, 42.65392200200006]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,242+John+Wise+Avenue+Essex+MA,-70.8074659,42.6539057,3504,19.3
MR281263,MRN281263,"Curaleaf Massachusetts, Inc",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,425 Main Street,Oxford,MA,1540,101 Accord Park Drive,Norwell,MA,2655,425 Main Street,Oxford,MA,1540,3500,22,Yes,1320247,2018-04-18T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.86461400799993, 42.128448003000074]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,425+Main+Street+Oxford+MA,-71.8646144,42.1284386,13709,116
MR281363,MRN281363,Mass Wellspring LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,18 Powdermill Rd,Acton,MA,1720,18 Powdermill Rd,Acton,MA,1720,4-6 Nason Street,Maynard,MA,1754,1800,8,Yes,1321559,2018-05-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.45410803699997, 42.43235900600007]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,18+Powdermill+Rd+Acton+MA,-71.4339802,42.4394954,21924,72.5
MR283121,MRN283121,"HTC Trinity, LLC",Marijuana Retailer,1500,0,Woman-Owned Business | Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,354 Winthrop Street,Taunton,MA,2780,38 Evergreen Drive,Taunton,MA,2780,354 Winthrop Street,Taunton,MA,2780,4140,13,Yes,1406117,2019-11-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.12997497999999, 41.88660599800005]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,354+Winthrop+Street+Taunton+MA,-71.129979,41.8866159,55874,113
MR281835,MRN281835,Theory Wellness Inc,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,672 Fuller Road,Chicopee,MA,1020,38 Montvale Ave,Stoneham,MA,2180,672 Fuller Road,Chicopee,MA,1020,13000,18,Yes,1328993,2018-08-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.55346596799997, 42.16069699800005]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,672+Fuller+Road+Chicopee+MA,-72.5535716,42.1606828,55298,184
MR281612,MRN281612,"Terpene Journey, LLC",Marijuana Retailer,0,5000,"Lesbian, Gay, Bisexual, and Transgender Owned Business",PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,430 Paradise Road Space B,Swampscott,MA,1907,108 Burrill Street,Swampscott,MA,1907,430 Paradise Road,Swampscott,MA,1907,1310,354,Yes,1317882,2018-06-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.90368697899999, 42.48141799200005]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,430+Paradise+Road+Space+B+Swampscott+MA,-70.9037331,42.4814348,13787,38.3
MR282186,MRN282186,"The Botanist, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,200 Portland Street,Boston,MA,2114,200 Portland Street,Boston,MA,2114,235 Hartford Turnpike,Shrewsbury,MA,1545,3000,6,Yes,1341613,2018-12-14T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.72073402999996, 42.24922401900005]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,200+Portland+Street+Boston+MA,-71.0622659,42.3645532,617594,48.1
MR282825,MRN282825,"BWell Holdings, Inc",Marijuana Retailer,300,10000,"Lesbian, Gay, Bisexual, and Transgender Owned Business | Veteran-Owned Business | Woman-Owned Business",FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,220 Commercial St,Provincetown,MA,2657,220 Commercial St,Provincetown,MA,2657,220 Commercial St,Provincetown,MA,2657,1000,153,Yes,1375971,2019-07-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.18878096299994, 42.049784009000064]}",9,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,220+Commercial+St+Provincetown+MA,-70.1886415,42.0496674,2942,235
MR282667,MRN282667,"Holistic Industries, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1300 Boston Road,Springfield,MA,1119,"1900 West Park Drive, Suite 280",Westborough,MA,1581,1300 Boston Road,Springfield,MA,1119,3218,5,Yes,1176982,2019-05-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.50013401399997, 42.14122399300004]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1300+Boston+Road+Springfield+MA,-72.500573,42.141318,153060,181
MR282576,MRN282576,"CNA Stores, Inc.",Marijuana Retailer,300,10000,Veteran-Owned Business | Disability-Owned Business,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,57 South Hunt Road,Amesbury,MA,1913,57 South Hunt Road,Amesbury,MA,1913,77 Macy Street,Amesbury,MA,1913,5500,24,Yes,1336643,2019-04-04T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.91616604099994, 42.846280980000074]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,57+South+Hunt+Road+Amesbury+MA,-70.961166,42.83373,16283,23.7
MR282819,MRN282819,"Bask, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,2 Pequod Road,Fairhaven,MA,2719,2 Pequod Road,Fairhaven,MA,2719,400 Winthrop Street,Taunton,MA,2780,2100,25,Yes,1383591,2019-06-28T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.13471502999994, 41.88594701300008]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,2+Pequod+Road+Fairhaven+MA,-70.8887655,41.6496377,15873,143
MR281585,MRN281585,"Berkshire Roots, Inc.",Marijuana Retailer,450,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,501 Dalton Ave,Pittsfield,MA,1201,501 Dalton Ave,Pittsfield,MA,1201,501 Dalton Avenue,Pittsfield,MA,1201,24800,3,Yes,1319343,2018-06-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.21229302899997, 42.46556898700004]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,501+Dalton+Ave+Pittsfield+MA,-73.2123036,42.4655974,44737,271
MR283141,MRN283141,Aspen Blue Cultures Inc.,Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,40 Forest Street,Attleboro,MA,2703,909 North Main Street,Providence,RI,2904,40 Forest Street,Attleboro,MA,2703,66000,58,Yes,1356119,2019-11-22T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.27389099999994, 41.945730980000064]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,40+Forest+Street+Attleboro+MA,-71.2748263,41.9461429,43593,121
MR283220,MRN283220,"The Green Harbor Dispensary, LLC",Marijuana Retailer,1500,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,RMD PRIORITY,APPROVED,1,29 Abbey Lane,Middleborough,MA,2346,29 Abbey Lane,Middleborough,MA,2346,1410 Bedford St.,Abington,MA,2351,2000,11,Yes,1303108,2020-01-07T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.95235398499995, 42.14072200100003]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,29+Abbey+Lane+Middleborough+MA,-70.8665293,41.8569397,23116,121
MR281689,MRN281689,"LDE Holdings, LLC.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,74 Snows Pond Rd,Rochester,MA,2770,74 Snows Pond Rd,Rochester,MA,2770,6 Thatcher Lane,Wareham,MA,2571,16600,11,Yes,1312718,2018-07-07T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.73752899199997, 41.78029601500003]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,74+Snows+Pond+Rd+Rochester+MA,-70.8563864,41.7563323,5232,134
MR282048,MRN282048,"GreenStar Herbals, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,76 - 100 Pleasant Street,Dracut,MA,1826,P.O. Box 955,Acton,MA,1720,76-100 Pleasant Street,Dracut,MA,1826,9300,41,Yes,1327773,2018-11-14T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.32416598999998, 42.66462598600003]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,76+-+100+Pleasant+Street+Dracut+MA,-71.3240661,42.6647206,29457,37.5
MR281811,MRN281811,Mellow Felllows LLC,Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,330 Amesbury Road,Haverhill,MA,1832,P.O.. Box 1115,Amesbury,MA,1831,330 Amesbury Road,Haverhill,MA,1830,2600,3,Yes,1345356,2018-08-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.05323002299997, 42.80207800800008]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,330+Amesbury+Road+Haverhill+MA,-71.0535491,42.8022074,60879,15.1
MR283694,MRN283694,"Caroline's Cannabis, LLC",Marijuana Retailer,0,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,4 Charlesview Road,Hopedale,MA,1747,PO Box 175,Douglas,MA,1516,4 Charlesview Road,Hopedale,MA,1747,3400,15,Yes,1284542,2020-07-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.50213701299998, 42.10406399900006]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,4+Charlesview+Road+Hopedale+MA,-71.5021469,42.1040745,5911,118
MR281430,MRN281430,"The Green Harbor Dispensary, LLC",Marijuana Retailer,1500,10000,Minority-Owned Business,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,29 Abbey Lane,Middleborough,MA,2346,29 Abbey Lane,Middleborough,MA,2346,79 Shank Painter Rd.,Provincetown,MA,2657,1995,76,Yes,1303108,2018-05-16T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.19507602299996, 42.05201300900006]}",9,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,29+Abbey+Lane+Middleborough+MA,-70.8665293,41.8569397,23116,121
MR281287,MRN281287,"New England Treatment Access, LLC.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,5 Forge Parkway,Franklin,MA,2038,5 Forge Parkway,Franklin,MA,2038,160 Washington Street,Brookline,MA,2445,10700,96,Yes,1318218,2018-04-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.11806001999997, 42.33173899500008]}",8,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,5+Forge+Parkway+Franklin+MA,-71.437172,42.0870027,31635,120
MR281553,MRN281553,"Nature's Remedy of Massachusetts, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,"69 Milk Street, Suite 110",Westborough,MA,1581,"69 Milk Street, Suite 110",Westborough,MA,1581,266 North Main Street,Millbury,MA,1527,3657,16,Yes,1323893,2018-06-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.77595215899998, 42.20292457600004]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,"69+Milk+Street,+Suite+110+Westborough+MA",-71.6179028,42.2715781,18272,102
MR282640,MRN282640,"Salty Farmers, LLC",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,182 Brackett Road,Eastham,MA,2651,PO BOX 726,North Truro,MA,2652,182 Brackett Road,Eastham,MA,2651,970,35,Yes,1271675,2019-04-24T00:00:00.000,"{'type': 'Point', 'coordinates': [-69.98379397699995, 41.85486700000007]}",9,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,182+Brackett+Road+Eastham+MA,-69.983797,41.854957,4956,199
MR281283,MRN281283,Patriot Care Corp,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,70 Industrial Avenue East,Lowell,MA,1852,321 Billerica Road,Chelmsford,MA,1824,70 Industrial Avenue East,Lowell,MA,1852,5800,16,Yes,463348302,2018-04-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.31636696499999, 42.614442987000075]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,70+Industrial+Avenue+East+Lowell+MA,-71.3166522,42.614669,106519,37.7
MR282211,MRN282211,Green Era LLC,Marijuana Retailer,300,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,371 John Fitch Hwy,Fitchburg,MA,1420,45 Bodwell St,Avon,MA,2322,371 John Fitch Hwy,Fitchburg,MA,1420,2900,31,Yes,1334019,2018-12-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.77571897899998, 42.580466984000054]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,371+John+Fitch+Hwy+Fitchburg+MA,-71.7744314,42.5806783,40318,82.7
MR281268,MRN281268,Cultivate Holdings LLC,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1764 Main Street,Leicester,MA,1524,PO Box 245,Leicester,MA,1524,1764 Main Street,Leicester,MA,1524,2000,4,Yes,1307470,2018-04-18T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.94606397899997, 42.252295987000025]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1764+Main+Street+Leicester+MA,-71.8636396,42.2407067,10970,108
MR281779,MRN281779,Delta 420 LLC,Marijuana Retailer,300,10000,Minority-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,199 Main Street,Blackstone,MA,1504,199 Main Street,Blackstone,MA,1504,199 Main Street,Blackstone,MA,1504,1340,43,Yes,1380596,2018-08-04T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.54243401799994, 42.017287999000075]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,199+Main+Street+Blackstone+MA,-71.5424661,42.0172513,9026,131
MR282522,MRN282522,Cultivate Holdings LLC,Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1764 Main Street,Leicester,MA,1524,PO Box 245,Leicester,MA,1527,250 Worcester Road,Framingham,MA,1702,3574,29,Yes,1307470,2019-03-26T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.40488103599995, 42.29815601900003]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1764+Main+Street+Leicester+MA,-71.8636396,42.2407067,10970,108
MR281844,MRN281844,CTDW LLC,Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,11 Larchmont Street,Salem,MA,1970,3 Dodge Street,Salem,MA,1970,3 Dodge Street,Salem,MA,1970,6240,1,Yes,1329790,2018-08-29T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.89387797299997, 42.51873799700007]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,11+Larchmont+Street+Salem+MA,-70.8991467,42.5317924,41340,28.2
MR283559,MRN283559,"Webber Road Ops, LLC",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,275 Sturbridge Road,Brimfield,MA,1010,199 Anna Farm Road East,North Stonington,CT,6359,275 Sturbridge Road,Brimfield,MA,1010,1920,2,Yes,1407596,2020-05-26T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.15831203999994, 42.114242982000064]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,275+Sturbridge+Road+Brimfield+MA,-72.1585049,42.114232,3609,148
MR282155,MRN282155,"Mayflower Medicinals, Inc.",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,33 Union Street,Boston,MA,2108,33 Union Street,Boston,MA,2108,450 Chelmsford Street,Lowell,MA,1851,3285,95,I Don''t Know,1339252,2018-12-09T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.32023496099998, 42.62773098500003]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,33+Union+Street+Boston+MA,-71.0566946,42.3611519,617594,56.4
MR282298,MRN282298,"PharmaCannis Massachusetts, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,939 Boston Turnpike,Shrewsbury,MA,1545,939 Boston Turnpike,Shrewsbury,MA,1545,939 Boston Turnpike,Shrewsbury,MA,1545,10500,41,Yes,1317349,2019-01-16T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.67916498699998, 42.280129018000025]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,939+Boston+Turnpike+Shrewsbury+MA,-71.6793399,42.280106,35608,109
MR281269,MRN281269,"New Dia, LLC",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,118 Cambridge St,Worcester,MA,1603,8 Zoar St,Worcester,MA,1604,118 Cambridge Street,Worcester,MA,1603,4000,41,Yes,1331653,2018-04-18T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.82636998199996, 42.24321901400003]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,118+Cambridge+St+Worcester+MA,-71.8263179,42.2432305,181045,104
MR283237,MRN283237,Four Trees Holyoke LLC,Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,1 Cabot Street,Holyoke,MA,1040,1 Cabot Street,Holyoke,MA,1040,1 Cabot Street,Holyoke,MA,1040,3500,14,Yes,1396854,2020-01-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.60216700499996, 42.196627996000075]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1+Cabot+Street+Holyoke+MA,-72.6019958,42.1967028,39880,190
MR282315,MRN282315,Fresh Fields Gloucester LLC,Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,"1700 Shawsheen St, 2nd Floor",Tewksbury,MA,1876,"1700 Shawsheen St, 2nd Floor",Tewksbury,MA,1876,73 Essex Ave,Gloucester,MA,1930,4500,10,Yes,1377452,2019-01-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.68109497899997, 42.612054983000064]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,"1700+Shawsheen+St,+2nd+Floor+Tewksbury+MA",-71.1846377,42.6216172,28961,24.2
MR282947,MRN282947,"Patient Centric of Martha's Vineyard, Ltd.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,90 Dr. Fisher Rd.,West Tisbury,MA,2575,PO Box 1323,West Tisbury,MA,2575,510 State Road,West Tisbury,MA,2575,2820,17,Yes,1312842,2019-08-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.66795198699998, 41.415070007000054]}",13,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,90+Dr.+Fisher+Rd.+West+Tisbury+MA,-70.6656874,41.4093274,2740,195
MR281274,MRN281274,"Caroline's Cannabis, LLC",Marijuana Retailer,300,5000,Woman-Owned Business,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,640 Douglas Street,Uxbridge,MA,1569,P.O. Box 175,Douglas,MA,1516,640 Douglas Street,Uxbridge,MA,1569,400,9,Yes,1284542,2018-04-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.66946100599995, 42.06317099800003]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,640+Douglas+Street+Uxbridge+MA,-71.6694838,42.0632556,13457,136
MR282743,MRN282743,"Metro Harvest, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,292 Bedford St.,Bridgewater,MA,2324,292 Bedford St.,Bridgewater,MA,2324,1903 Fall River Ave,Seekonk,MA,2771,3400,6,Yes,1378461,2019-05-28T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.29810497699998, 41.78013499900004]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,292+Bedford+St.+Bridgewater+MA,-70.9757804,41.9792493,26563,104
MR282668,MRN282668,"Harmony of MA, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,40 Nouvelle Way,Natick,MA,1760,40 Nouvelle Way,Natick,MA,1760,111 & 113 Shrewsbury Street,West Boylston,MA,1583,4500,12,Yes,1380864,2019-05-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.77244515899997, 42.33998100900004]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,40+Nouvelle+Way+Natick+MA,-71.3842112,42.3024653,33006,78.8
MR283035,MRN283035,"Patient Centric of Martha's Vineyard, Ltd.",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,90 Dr. Fisher Rd.,West Tisbury,MA,2575,PO Box 1323,West Tisbury,MA,2575,15 Mechanics St,Tisbury,MA,2568,6173,33,Yes,1312842,2019-10-07T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.61409700199994, 41.44761299800007]}",13,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,90+Dr.+Fisher+Rd.+West+Tisbury+MA,-70.6656874,41.4093274,2740,195
MR281517,MRN281517,"D2N2,LLC",Marijuana Retailer,300,10000,Woman-Owned Business,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,307 Main Street,Great Barrington,MA,1230,307 Main Street,Great Barrington,MA,1230,307 Main Street,Great Barrington,MA,1230,1900,3,Yes,1258377,2018-06-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.36202500099995, 42.194057015000055]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,307+Main+Street+Great+Barrington+MA,-73.3621671,42.1941444,7104,267
MR282034,MRN282034,"GreenStar Herbals, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,200 Beacham Street,Chelsea,MA,2150,P.O. Box 955,Acton,MA,1720,200 Beacham Street,Chelsea,MA,2150,15618,5,Yes,1327773,2018-11-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.05276901799994, 42.39558101700004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,200+Beacham+Street+Chelsea+MA,-71.052866,42.395638,35177,42.9
MR281951,MRN281951,PURE BOTANICALS LLC,Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,239 West st,Pittsfield,MA,1201,46 Lucille St,Pittsfield,MA,1201,239 West St,Pittsfield,MA,1201,1800,33,Yes,1323522,2018-10-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.26202596199994, 42.44779499400005]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,239+West+st+Pittsfield+MA,-73.2620232,42.4477809,44737,267
MR282629,MRN282629,"ToroVerde (Massachusetts) III, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,C/O Evanscutler Attorneys 90 Conz Street,Northampton,MA,1060,C/O Evanscutler Attorneys 90 Conz Street,Northampton,MA,1060,424 State Road,Whately,MA,1093,8000,8,Yes,1350075,2019-04-22T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.62558598699997, 42.44393352000003]}",7,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,C/O+Evanscutler+Attorneys+90+Conz+Street+Northampton+MA,-72.6265608,42.3135328,28549,212
MR283288,MRN283288,"Holland Brands NA, LLC",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,55 Henshaw,Brighton,MA,2135,55 Henshaw,Brighton,MA,2135,1320 South Washington Street,North Attleborough,MA,2760,9375,0,Yes,1389281,2020-02-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.34971369099998, 41.93809631400006]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,55+Henshaw+Brighton+MA,-71.152232,42.3501093,0,58.4
MR283073,MRN283073,"Eskar Northbridge, LLC",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,15 Forbes Street,Boston,MA,2130,15 Forbes Street,Boston,MA,2130,"Plat 28, Parcel 73 a/k/a Building 4, Commerce Drive",Northbridge,MA,1534,99999,99999,Yes,1403361,2019-10-22T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.64902849999999, 42.15203710000003]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,15+Forbes+Street+Boston+MA,-71.108033,42.321852,617594,55.1
MR281402,MRN281402,Slang LLC,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,2 Larch St,Pittsfield,MA,1201,2 Larch St.,Pittsfield,MA,1201,2 Larch St,Pittsfield,MA,1201,2100,19,Yes,1381646,2018-05-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.21007746299995, 42.45885374300008]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,2+Larch+St+Pittsfield+MA,-73.2102578,42.4587763,44737,270
